racking,First-name,Name,Nationality,Position,age,tall(m),weight,start_career,club,Tournament,club-match,club_W,club_D,club_L,club_starter,club_try,club_points,club_Min,other club tournament  ,other-match,other_W,other_D,other_L,other_starter,other_try,other_points,other_Min,National_match,National_W,National_D,National_L,National_starter,National_try,National_Points,National_min,yellow card,red card
82,Rory,Darge,Scotland,Backrow,24,1.86,102,2019,Glasgow Warriors,United Rugby Championship,14,9,0,5,13,1,5,829,champions cup,2,0,0,2,2,0,0,160,15,9,0,6,12,4,20,916,0,0
83,Steven,Kitshoff,South Africa,Prop,32,1.83,126,2010,Ulster Rugby,United Rugby Championship,8,3,0,5,5,0,0,369,champions cup,4,1,0,3,4,0,0,264,9,8,0,1,7,0,0,394,0,0
84,Manie,Libbok,South Africa,Fly,27,1.8,80,2017,Stormers,United Rugby Championship,12,9,0,3,12,0,111,949,champions cup,4,3,0,1,4,1,42,320,10,9,0,8,0,0,60,536,0,0
85,Ronan,Kelleher,Ireland,Hooker,26,1.85,106,2018,Leinster Rugby ,United Rugby Championship,10,8,0,2,7,2,10,428,champions cup,8,7,0,1,0,0,0,203,12,9,0,3,3,1,5,387,1,0
86,Michelle,Lamaro,Italy,Backrow,26,1.88,103,2018,Benetton Rugby Trévise,United Rugby Championship,12,9,0,3,11,1,5,764,Challenge Cup,4,2,0,2,3,0,0,276,15,8,1,6,14,2,10,1049,2,0
87,Jack,Conan,Ireland,Backrow,32,1.93,111,2013,Leinster Rugby,United Rugby Championship,9,6,0,3,5,2,10,402,champions cup,7,6,0,1,0,1,5,152,8,6,0,2,2,1,5,252,1,0
88,Julian,Marchand,France,Hooker,29,1.81,110,2005,Stade Toulousain,top14,9,6,0,3,6,2,10,422,champions cup,6,6,0,0,0,0,0,176,8,6,1,1,5,0,0,297,1,0
89,Louis,Bielle-Biarrey,France,Winger,21,1.85,84,2008,Union Bordeaux-Bègles,top14,15,9,0,6,12,5,25,1004,champions cup,5,3,0,2,5,6,30,388,11,8,0,3,9,6,30,751,0,0
90,Zander,Fagerson,Scotland,Prop,28,1.88,125,2014,Glasgow Warriors,United Rugby Championship,16,11,0,5,12,0,0,864,champions cup,5,2,0,3,4,0,0,278,9,4,0,5,8,1,5,560,1,1
91,Duhan,van-der-Merwe,Scotland,Winger,29,1.93,106,2015,Edimbourg Rugby,United Rugby Championship,12,6,0,6,12,3,15,942,Challenge Cup,5,3,0,2,5,4,20,401,13,7,0,6,11,11,55,1020,3,0
92,George,Furbank,England,Fullback,27,1.82,93,2017,Northampton Saints,Premiership,13,11,0,2,13,4,51,1040,champions cup,6,5,0,1,5,2,10,410,5,2,0,3,5,4,10,327,1,0
93,Fletcher,Newell, New Zealand,Prop,24,1.86,119,2019,Crusaders,Super Rugby Pacific,12,3,0,9,11,0,0,669,None,0,0,0,0,0,0,0,0,12,9,0,3,1,1,5,399,0,0
94,Jac,Morgan,Wales,Backrow,24,1.82,104,2018,Ospreys,United Rugby Championship,6,3,0,3,4,0,0,375,Challenge Cup,1,1,0,0,1,0,0,80,7,5,0,2,7,2,10,560,0,0
95,Alex,Mitchell,England,Scrumhalf,27,1.8,83,2015,Northampton Saints,Premiership,12,10,0,2,10,7,35,798,champions cup,7,6,0,1,6,3,15,435,13,8,0,5,13,2,10,808,0,0
96,Tom,Wright,Australia,Fullback,27,1.86,100,2018,Brumbies,Super Rugby Pacific,16,13,0,3,16,10,50,1274,None,0,0,0,0,0,0,0,0,6,4,0,2,6,2,10,400,0,0
97,Uluoano,Seuteni,Samoa,Center,30,1.85,100,2012,Stade Rochelais,top14,17,9,1,7,17,3,15,1235,champions cup,6,3,0,3,6,3,15,461,3,1,0,2,3,0,0,198,1,0
98,Dewi,Lake,Wales,Hooker,25,1.85,114,2017,Ospreys,United Rugby Championship,10,5,0,5,8,2,10,566,Challenge Cup,3,2,0,1,3,4,20,124,8,3,0,5,7,5,25,421,0,0
99,Uini,Antonio,France,Prop,34,1.97,147,2011,Stade Rochelais,top14,15,10,1,4,10,1,5,708,champions cup,6,3,0,3,6,0,0,341,12,9,1,2,11,1,5,573,1,1
